frame,speed_px_s,speed_kmh,speed_mph,center_x,center_y
533,0.0,0.0,0.0,251.0,1007.0
534,0.0,0.0,0.0,251.0,1007.0
535,0.0,0.0,0.0,251.0,1007.0
536,0.0,0.0,0.0,251.0,1007.0
537,0.0,0.0,0.0,251.0,1007.0
538,0.0,0.0,0.0,251.0,1007.0
539,0.0,0.0,0.0,251.0,1007.0
540,0.0,0.0,0.0,251.0,1007.0
541,0.0,0.0,0.0,251.0,1007.0
542,0.0,0.0,0.0,251.0,1007.0
543,0.0,0.0,0.0,251.0,1007.0
544,0.0,0.0,0.0,251.0,1007.0
545,0.0,0.0,0.0,251.0,1007.0
546,0.0,0.0,0.0,251.0,1007.0
